time_step,itm_probability,mean_price,std_price
0,0.0,100.0,0.0
4,0.50376,100.01992470560452,1.2666327385633394
8,0.50543,100.03967528479131,1.7817401075314312
12,0.50645,100.05941063438756,2.1777282951293633
16,0.50758,100.07910475796137,2.5105356753577786
20,0.5084,100.09893952085169,2.8092706476057008
24,0.50894,100.11904801838038,3.0881634430370433
28,0.50974,100.13874239296693,3.3315729217717647
32,0.51103,100.15864762977719,3.564386413649124
36,0.51168,100.17832245177543,3.7768704182043575
40,0.51225,100.19808193740899,3.980253527249041
44,0.51271,100.2178930587172,4.17508441114699
48,0.51327,100.23804897002714,4.369241721677532
52,0.51341,100.25799241063277,4.550493980064386
56,0.5141,100.27798195955867,4.725852348974594
60,0.51489,100.29785576192033,4.892718488853752
64,0.51512,100.31758919647234,5.051272957374906
68,0.51516,100.3373960183039,5.206507522644943
72,0.51558,100.35728776316395,5.358942659128114
76,0.51627,100.37690229073439,5.502109466677702
80,0.51719,100.39624105316894,5.636810222447592
84,0.51756,100.41624841104158,5.780001224044345
88,0.5179,100.43654787627113,5.924874393435762
92,0.51846,100.45611677810071,6.054105769507844
96,0.51794,100.47604191135684,6.18655061607158
100,0.51873,100.49606403633045,6.317825524357661
104,0.5195,100.5162512841195,6.449009567090812
108,0.51936,100.53642490151985,6.577415354764888
112,0.52001,100.55668598596489,6.704766639876464
116,0.52011,100.57613113150443,6.81778621971233
120,0.51985,100.59628354375609,6.9393441290589655
124,0.52056,100.61575147535224,7.048991147711514
128,0.52162,100.63608452527725,7.16928493916098
132,0.52179,100.65597649474786,7.281566842903489
136,0.5219,100.67567871177114,7.389508763024566
140,0.52222,100.69644612654967,7.510405424884117
144,0.52211,100.71557924186544,7.607463445340355
148,0.52293,100.7356182200512,7.715393786303866
152,0.52361,100.75504621930617,7.813971145389284
156,0.52356,100.7750420612606,7.918590266011416
160,0.52383,100.79527332717761,8.024887636561274
164,0.52384,100.81449465207976,8.117164190084173
168,0.52444,100.83430093897339,8.215798947984611
172,0.52488,100.85404193748472,8.312425027491052
176,0.52455,100.87397821289194,8.410226619249801
180,0.52514,100.89354303789762,8.502486761707893
184,0.52503,100.91351387892557,8.598777756684395
188,0.52585,100.93373231708054,8.696996675200607
192,0.52565,100.95379849906327,8.79229141066568
196,0.52603,100.97431272532808,8.89193948203108
200,0.52633,100.99477950565526,8.989945633167396
204,0.5272,101.0151867233282,9.086143937709076
208,0.52641,101.03477748218488,9.172242452896185
212,0.52743,101.05537987075161,9.268915393556746
216,0.52724,101.07521524773564,9.356176411103014
220,0.52712,101.09491221367607,9.441016411635552
224,0.52718,101.11507701151811,9.530291562860672
228,0.52896,101.1349952173916,9.6159349393776
232,0.52853,101.15566430202342,9.70899397279044
236,0.52806,101.17630389189273,9.800714016345522
240,0.52866,101.19645433285201,9.886986064241617
244,0.52914,101.21730143526837,9.97975013792687
248,0.5297,101.23742052418605,10.064141525634778
252,0.53009,101.25819619296624,10.154240856260442
